"timeframe",""
"2005-01-06 - 2007-11-22","USA_B_3 - CHE_B_3"
"2005-01-06 - 2007-11-22","ITA_B_3 - DEU_B_3"
"2005-01-06 - 2007-11-22","USA_B_3 - DEU_B_3"
"2005-01-06 - 2007-11-22","DEU_B_3 - FRA_B_3"
"2005-01-06 - 2007-11-22","USA_B_3 - FRA_B_3"
"2005-01-06 - 2007-11-22","CHE_B_3 - ITA_B_3"
"2005-01-06 - 2007-11-22","DEU_B_3 - USA_B_3"
"2005-01-06 - 2007-11-22","ITA_B_3 - USA_B_3"
"2005-01-13 - 2007-11-29","USA_B_1 - AUS_B_1"
"2005-01-13 - 2007-11-29","USA_B_1 - JPN_B_1"
"2005-01-13 - 2007-11-29","USA_B_1 - NOR_B_1"
"2005-01-13 - 2007-11-29","NOR_B_1 - USA_B_1"
"2005-01-13 - 2007-11-29","USA_B_2 - CAN_B_2"
"2005-01-13 - 2007-11-29","JPN_B_2 - MEX_B_2"
"2005-01-13 - 2007-11-29","CHE_B_2 - NOR_B_2"
"2005-01-13 - 2007-11-29","USA_B_3 - DEU_B_3"
"2005-01-13 - 2007-11-29","USA_B_3 - FRA_B_3"
"2005-01-13 - 2007-11-29","USA_B_3 - GBR_B_3"
"2005-01-13 - 2007-11-29","CHE_B_3 - ITA_B_3"
"2005-01-20 - 2007-12-06","USA_B_1 - AUS_B_1"
"2005-01-20 - 2007-12-06","USA_B_1 - JPN_B_1"
"2005-01-20 - 2007-12-06","USA_B_1 - NOR_B_1"
"2005-01-20 - 2007-12-06","NOR_B_1 - USA_B_1"
"2005-01-20 - 2007-12-06","USA_B_2 - CAN_B_2"
"2005-01-20 - 2007-12-06","JPN_B_2 - MEX_B_2"
"2005-01-20 - 2007-12-06","ITA_B_3 - CHE_B_3"
"2005-01-20 - 2007-12-06","USA_B_3 - CHE_B_3"
"2005-01-20 - 2007-12-06","USA_B_3 - DEU_B_3"
"2005-01-20 - 2007-12-06","USA_B_3 - FRA_B_3"
"2005-01-20 - 2007-12-06","CHE_B_3 - ITA_B_3"
"2005-01-20 - 2007-12-06","AUS_B_3 - NOR_B_3"
"2005-01-27 - 2007-12-13","USA_B_1 - AUS_B_1"
"2005-01-27 - 2007-12-13","USA_B_1 - JPN_B_1"
"2005-01-27 - 2007-12-13","USA_B_1 - NOR_B_1"
"2005-01-27 - 2007-12-13","NOR_B_1 - USA_B_1"
"2005-01-27 - 2007-12-13","USA_B_2 - CAN_B_2"
"2005-01-27 - 2007-12-13","USA_B_3 - CHE_B_3"
"2005-01-27 - 2007-12-13","USA_B_3 - DEU_B_3"
"2005-01-27 - 2007-12-13","USA_B_3 - GBR_B_3"
"2005-01-27 - 2007-12-13","CHE_B_3 - ITA_B_3"
"2005-01-27 - 2007-12-13","AUS_B_3 - NOR_B_3"
"2005-02-03 - 2007-12-20","USA_B_1 - AUS_B_1"
"2005-02-03 - 2007-12-20","USA_B_1 - JPN_B_1"
"2005-02-03 - 2007-12-20","USA_B_1 - NOR_B_1"
"2005-02-03 - 2007-12-20","NOR_B_1 - USA_B_1"
"2005-02-03 - 2007-12-20","USA_B_2 - CAN_B_2"
"2005-02-03 - 2007-12-20","USA_B_3 - CHE_B_3"
"2005-02-03 - 2007-12-20","USA_B_3 - DEU_B_3"
"2005-02-03 - 2007-12-20","USA_B_3 - GBR_B_3"
"2005-02-03 - 2007-12-20","CHE_B_3 - ITA_B_3"
"2005-02-03 - 2007-12-20","AUS_B_3 - NOR_B_3"
"2005-02-10 - 2007-12-27","USA_B_1 - AUS_B_1"
"2005-02-10 - 2007-12-27","USA_B_1 - JPN_B_1"
"2005-02-10 - 2007-12-27","CAN_B_1 - NOR_B_1"
"2005-02-10 - 2007-12-27","NOR_B_1 - USA_B_1"
"2005-02-10 - 2007-12-27","USA_B_2 - CAN_B_2"
"2005-02-10 - 2007-12-27","AUS_B_2 - FRA_B_2"
"2005-02-10 - 2007-12-27","USA_B_3 - DEU_B_3"
"2005-02-10 - 2007-12-27","USA_B_3 - GBR_B_3"
"2005-02-10 - 2007-12-27","CHE_B_3 - ITA_B_3"
"2005-02-17 - 2008-01-03","USA_B_1 - AUS_B_1"
"2005-02-17 - 2008-01-03","USA_B_1 - JPN_B_1"
"2005-02-17 - 2008-01-03","CAN_B_1 - NOR_B_1"
"2005-02-17 - 2008-01-03","NOR_B_1 - USA_B_1"
"2005-02-17 - 2008-01-03","USA_B_2 - CAN_B_2"
"2005-02-17 - 2008-01-03","AUS_B_2 - FRA_B_2"
"2005-02-17 - 2008-01-03","AUS_B_2 - GBR_B_2"
"2005-02-17 - 2008-01-03","ITA_B_3 - CHE_B_3"
"2005-02-17 - 2008-01-03","USA_B_3 - DEU_B_3"
"2005-02-17 - 2008-01-03","USA_B_3 - GBR_B_3"
"2005-02-17 - 2008-01-03","CHE_B_3 - ITA_B_3"
"2005-02-24 - 2008-01-10","USA_B_1 - AUS_B_1"
"2005-02-24 - 2008-01-10","USA_B_1 - JPN_B_1"
"2005-02-24 - 2008-01-10","USA_B_1 - NOR_B_1"
"2005-02-24 - 2008-01-10","NOR_B_1 - USA_B_1"
"2005-02-24 - 2008-01-10","USA_B_2 - CAN_B_2"
"2005-02-24 - 2008-01-10","USA_B_2 - FRA_B_2"
"2005-02-24 - 2008-01-10","AUS_B_2 - GBR_B_2"
"2005-02-24 - 2008-01-10","MEX_B_3 - CAN_B_3"
"2005-02-24 - 2008-01-10","USA_B_3 - CHE_B_3"
"2005-02-24 - 2008-01-10","USA_B_3 - DEU_B_3"
"2005-02-24 - 2008-01-10","USA_B_3 - GBR_B_3"
"2005-02-24 - 2008-01-10","CHE_B_3 - ITA_B_3"
"2005-03-03 - 2008-01-17","USA_B_1 - AUS_B_1"
"2005-03-03 - 2008-01-17","USA_B_1 - JPN_B_1"
"2005-03-03 - 2008-01-17","USA_B_1 - NOR_B_1"
"2005-03-03 - 2008-01-17","ITA_B_2 - CAN_B_2"
"2005-03-03 - 2008-01-17","USA_B_2 - CAN_B_2"
"2005-03-03 - 2008-01-17","USA_B_2 - FRA_B_2"
"2005-03-03 - 2008-01-17","AUS_B_2 - GBR_B_2"
"2005-03-03 - 2008-01-17","MEX_B_3 - CAN_B_3"
"2005-03-03 - 2008-01-17","ITA_B_3 - CHE_B_3"
"2005-03-03 - 2008-01-17","USA_B_3 - DEU_B_3"
"2005-03-03 - 2008-01-17","CHE_B_3 - ITA_B_3"
"2005-03-10 - 2008-01-24","USA_B_1 - AUS_B_1"
"2005-03-10 - 2008-01-24","USA_B_1 - NOR_B_1"
"2005-03-10 - 2008-01-24","USA_B_2 - CAN_B_2"
"2005-03-10 - 2008-01-24","USA_B_2 - CHE_B_2"
"2005-03-10 - 2008-01-24","AUS_B_2 - GBR_B_2"
"2005-03-10 - 2008-01-24","ITA_B_2 - GBR_B_2"
"2005-03-10 - 2008-01-24","JPN_B_2 - USA_B_2"
"2005-03-10 - 2008-01-24","MEX_B_3 - CAN_B_3"
"2005-03-10 - 2008-01-24","ITA_B_3 - CHE_B_3"
"2005-03-10 - 2008-01-24","NOR_B_3 - CHE_B_3"
"2005-03-10 - 2008-01-24","USA_B_3 - DEU_B_3"
"2005-03-10 - 2008-01-24","USA_B_3 - FRA_B_3"
"2005-03-10 - 2008-01-24","CHE_B_3 - ITA_B_3"
"2005-03-17 - 2008-01-31","USA_B_1 - AUS_B_1"
"2005-03-17 - 2008-01-31","USA_B_1 - GBR_B_1"
"2005-03-17 - 2008-01-31","MEX_B_1 - JPN_B_1"
"2005-03-17 - 2008-01-31","USA_B_1 - JPN_B_1"
"2005-03-17 - 2008-01-31","CAN_B_1 - NOR_B_1"
"2005-03-17 - 2008-01-31","USA_B_1 - NOR_B_1"
"2005-03-17 - 2008-01-31","ITA_B_1 - USA_B_1"
"2005-03-17 - 2008-01-31","USA_B_2 - CAN_B_2"
"2005-03-17 - 2008-01-31","USA_B_2 - CHE_B_2"
"2005-03-17 - 2008-01-31","JPN_B_2 - MEX_B_2"
"2005-03-17 - 2008-01-31","JPN_B_2 - USA_B_2"
"2005-03-17 - 2008-01-31","AUS_B_3 - CAN_B_3"
"2005-03-17 - 2008-01-31","ITA_B_3 - CHE_B_3"
"2005-03-17 - 2008-01-31","USA_B_3 - DEU_B_3"
"2005-03-17 - 2008-01-31","USA_B_3 - FRA_B_3"
"2005-03-24 - 2008-02-07","USA_B_1 - AUS_B_1"
"2005-03-24 - 2008-02-07","CHN_B_1 - CHE_B_1"
"2005-03-24 - 2008-02-07","CHE_B_1 - GBR_B_1"
"2005-03-24 - 2008-02-07","USA_B_1 - NOR_B_1"
"2005-03-24 - 2008-02-07","ITA_B_1 - USA_B_1"
"2005-03-24 - 2008-02-07","USA_B_2 - CAN_B_2"
"2005-03-24 - 2008-02-07","USA_B_2 - CHE_B_2"
"2005-03-24 - 2008-02-07","AUS_B_2 - FRA_B_2"
"2005-03-24 - 2008-02-07","AUS_B_2 - GBR_B_2"
"2005-03-24 - 2008-02-07","CHE_B_2 - USA_B_2"
"2005-03-24 - 2008-02-07","JPN_B_2 - USA_B_2"
"2005-03-24 - 2008-02-07","ITA_B_3 - CHE_B_3"
"2005-03-24 - 2008-02-07","NOR_B_3 - CHE_B_3"
"2005-03-24 - 2008-02-07","USA_B_3 - DEU_B_3"
"2005-03-24 - 2008-02-07","USA_B_3 - FRA_B_3"
"2005-03-24 - 2008-02-07","USA_B_3 - ITA_B_3"
"2005-03-31 - 2008-02-14","USA_B_1 - AUS_B_1"
"2005-03-31 - 2008-02-14","MEX_B_1 - JPN_B_1"
"2005-03-31 - 2008-02-14","MEX_B_1 - NOR_B_1"
"2005-03-31 - 2008-02-14","USA_B_1 - NOR_B_1"
"2005-03-31 - 2008-02-14","GBR_B_1 - USA_B_1"
"2005-03-31 - 2008-02-14","NOR_B_1 - USA_B_1"
"2005-03-31 - 2008-02-14","USA_B_2 - CAN_B_2"
"2005-03-31 - 2008-02-14","USA_B_2 - CHE_B_2"
"2005-03-31 - 2008-02-14","AUS_B_2 - GBR_B_2"
"2005-03-31 - 2008-02-14","JPN_B_2 - USA_B_2"
"2005-03-31 - 2008-02-14","ITA_B_3 - CHE_B_3"
"2005-03-31 - 2008-02-14","NOR_B_3 - CHE_B_3"
"2005-03-31 - 2008-02-14","USA_B_3 - DEU_B_3"
"2005-03-31 - 2008-02-14","USA_B_3 - FRA_B_3"
"2005-03-31 - 2008-02-14","USA_B_3 - ITA_B_3"
"2005-04-07 - 2008-02-21","USA_B_1 - AUS_B_1"
"2005-04-07 - 2008-02-21","USA_B_1 - NOR_B_1"
"2005-04-07 - 2008-02-21","GBR_B_1 - USA_B_1"
"2005-04-07 - 2008-02-21","NOR_B_1 - USA_B_1"
"2005-04-07 - 2008-02-21","USA_B_2 - CAN_B_2"
"2005-04-07 - 2008-02-21","AUS_B_2 - FRA_B_2"
"2005-04-07 - 2008-02-21","AUS_B_2 - GBR_B_2"
"2005-04-07 - 2008-02-21","CHE_B_2 - USA_B_2"
"2005-04-07 - 2008-02-21","JPN_B_2 - USA_B_2"
"2005-04-07 - 2008-02-21","ITA_B_3 - CHE_B_3"
"2005-04-07 - 2008-02-21","NOR_B_3 - CHE_B_3"
"2005-04-07 - 2008-02-21","USA_B_3 - DEU_B_3"
"2005-04-07 - 2008-02-21","USA_B_3 - FRA_B_3"
"2005-04-07 - 2008-02-21","USA_B_3 - ITA_B_3"
"2005-04-14 - 2008-02-28","MEX_B_1 - AUS_B_1"
"2005-04-14 - 2008-02-28","USA_B_1 - AUS_B_1"
"2005-04-14 - 2008-02-28","USA_B_1 - NOR_B_1"
"2005-04-14 - 2008-02-28","GBR_B_1 - USA_B_1"
"2005-04-14 - 2008-02-28","USA_B_2 - CAN_B_2"
"2005-04-14 - 2008-02-28","AUS_B_2 - FRA_B_2"
"2005-04-14 - 2008-02-28","AUS_B_2 - GBR_B_2"
"2005-04-14 - 2008-02-28","JPN_B_2 - USA_B_2"
"2005-04-14 - 2008-02-28","AUS_B_3 - CAN_B_3"
"2005-04-14 - 2008-02-28","ITA_B_3 - CHE_B_3"
"2005-04-14 - 2008-02-28","NOR_B_3 - CHE_B_3"
"2005-04-14 - 2008-02-28","USA_B_3 - DEU_B_3"
"2005-04-14 - 2008-02-28","USA_B_3 - FRA_B_3"
"2005-04-14 - 2008-02-28","USA_B_3 - ITA_B_3"
"2005-04-21 - 2008-03-06","MEX_B_1 - AUS_B_1"
"2005-04-21 - 2008-03-06","USA_B_1 - AUS_B_1"
"2005-04-21 - 2008-03-06","USA_B_1 - NOR_B_1"
"2005-04-21 - 2008-03-06","USA_B_2 - CAN_B_2"
"2005-04-21 - 2008-03-06","AUS_B_2 - GBR_B_2"
"2005-04-21 - 2008-03-06","CHE_B_2 - GBR_B_2"
"2005-04-21 - 2008-03-06","CHE_B_2 - USA_B_2"
"2005-04-21 - 2008-03-06","JPN_B_2 - USA_B_2"
"2005-04-21 - 2008-03-06","DEU_B_3 - AUS_B_3"
"2005-04-21 - 2008-03-06","AUS_B_3 - CAN_B_3"
"2005-04-21 - 2008-03-06","MEX_B_3 - CAN_B_3"
"2005-04-21 - 2008-03-06","ITA_B_3 - CHE_B_3"
"2005-04-21 - 2008-03-06","NOR_B_3 - CHE_B_3"
"2005-04-21 - 2008-03-06","USA_B_3 - DEU_B_3"
"2005-04-21 - 2008-03-06","DEU_B_3 - FRA_B_3"
"2005-04-21 - 2008-03-06","USA_B_3 - FRA_B_3"
"2005-04-21 - 2008-03-06","USA_B_3 - ITA_B_3"
"2005-04-28 - 2008-03-13","USA_B_1 - AUS_B_1"
"2005-04-28 - 2008-03-13","USA_B_1 - NOR_B_1"
"2005-04-28 - 2008-03-13","NOR_B_1 - USA_B_1"
"2005-04-28 - 2008-03-13","USA_B_2 - CAN_B_2"
"2005-04-28 - 2008-03-13","USA_B_2 - CHE_B_2"
"2005-04-28 - 2008-03-13","AUS_B_2 - GBR_B_2"
"2005-04-28 - 2008-03-13","JPN_B_2 - MEX_B_2"
"2005-04-28 - 2008-03-13","JPN_B_2 - USA_B_2"
"2005-04-28 - 2008-03-13","DEU_B_3 - AUS_B_3"
"2005-04-28 - 2008-03-13","FRA_B_3 - AUS_B_3"
"2005-04-28 - 2008-03-13","ITA_B_3 - AUS_B_3"
"2005-04-28 - 2008-03-13","AUS_B_3 - CAN_B_3"
"2005-04-28 - 2008-03-13","USA_B_3 - DEU_B_3"
"2005-04-28 - 2008-03-13","USA_B_3 - FRA_B_3"
"2005-04-28 - 2008-03-13","USA_B_3 - ITA_B_3"
"2005-05-05 - 2008-03-20","MEX_B_1 - AUS_B_1"
"2005-05-05 - 2008-03-20","USA_B_1 - AUS_B_1"
"2005-05-05 - 2008-03-20","CAN_B_1 - FRA_B_1"
"2005-05-05 - 2008-03-20","CAN_B_1 - NOR_B_1"
"2005-05-05 - 2008-03-20","USA_B_1 - NOR_B_1"
"2005-05-05 - 2008-03-20","USA_B_2 - CAN_B_2"
"2005-05-05 - 2008-03-20","USA_B_2 - CHE_B_2"
"2005-05-05 - 2008-03-20","CHE_B_2 - USA_B_2"
"2005-05-05 - 2008-03-20","JPN_B_2 - USA_B_2"
"2005-05-05 - 2008-03-20","DEU_B_3 - AUS_B_3"
"2005-05-05 - 2008-03-20","AUS_B_3 - CAN_B_3"
"2005-05-05 - 2008-03-20","AUS_B_3 - CHE_B_3"
"2005-05-05 - 2008-03-20","FRA_B_3 - DEU_B_3"
"2005-05-05 - 2008-03-20","USA_B_3 - DEU_B_3"
"2005-05-05 - 2008-03-20","USA_B_3 - FRA_B_3"
"2005-05-05 - 2008-03-20","USA_B_3 - GBR_B_3"
"2005-05-05 - 2008-03-20","USA_B_3 - ITA_B_3"
"2005-05-12 - 2008-03-27","MEX_B_1 - AUS_B_1"
"2005-05-12 - 2008-03-27","USA_B_1 - AUS_B_1"
"2005-05-12 - 2008-03-27","USA_B_1 - NOR_B_1"
"2005-05-12 - 2008-03-27","GBR_B_1 - USA_B_1"
"2005-05-12 - 2008-03-27","USA_B_2 - CAN_B_2"
"2005-05-12 - 2008-03-27","USA_B_2 - CHE_B_2"
"2005-05-12 - 2008-03-27","CHE_B_2 - USA_B_2"
"2005-05-12 - 2008-03-27","JPN_B_2 - USA_B_2"
"2005-05-12 - 2008-03-27","DEU_B_3 - AUS_B_3"
"2005-05-12 - 2008-03-27","AUS_B_3 - CAN_B_3"
"2005-05-12 - 2008-03-27","AUS_B_3 - CHE_B_3"
"2005-05-12 - 2008-03-27","AUS_B_3 - DEU_B_3"
"2005-05-12 - 2008-03-27","FRA_B_3 - DEU_B_3"
"2005-05-12 - 2008-03-27","USA_B_3 - DEU_B_3"
"2005-05-12 - 2008-03-27","USA_B_3 - FRA_B_3"
"2005-05-12 - 2008-03-27","USA_B_3 - ITA_B_3"
"2005-05-19 - 2008-04-03","MEX_B_1 - AUS_B_1"
"2005-05-19 - 2008-04-03","USA_B_1 - AUS_B_1"
"2005-05-19 - 2008-04-03","CAN_B_1 - DEU_B_1"
"2005-05-19 - 2008-04-03","CAN_B_1 - FRA_B_1"
"2005-05-19 - 2008-04-03","USA_B_1 - GBR_B_1"
"2005-05-19 - 2008-04-03","CAN_B_1 - ITA_B_1"
"2005-05-19 - 2008-04-03","CHE_B_1 - NOR_B_1"
"2005-05-19 - 2008-04-03","MEX_B_1 - NOR_B_1"
"2005-05-19 - 2008-04-03","USA_B_1 - NOR_B_1"
"2005-05-19 - 2008-04-03","GBR_B_1 - USA_B_1"
"2005-05-19 - 2008-04-03","FRA_B_2 - AUS_B_2"
"2005-05-19 - 2008-04-03","USA_B_2 - CAN_B_2"
"2005-05-19 - 2008-04-03","USA_B_2 - CHE_B_2"
"2005-05-19 - 2008-04-03","JPN_B_2 - USA_B_2"
"2005-05-19 - 2008-04-03","DEU_B_3 - AUS_B_3"
"2005-05-19 - 2008-04-03","AUS_B_3 - CAN_B_3"
"2005-05-19 - 2008-04-03","AUS_B_3 - CHE_B_3"
"2005-05-19 - 2008-04-03","AUS_B_3 - DEU_B_3"
"2005-05-19 - 2008-04-03","USA_B_3 - DEU_B_3"
"2005-05-19 - 2008-04-03","USA_B_3 - FRA_B_3"
"2005-05-19 - 2008-04-03","USA_B_3 - ITA_B_3"
"2005-05-26 - 2008-04-10","MEX_B_1 - AUS_B_1"
"2005-05-26 - 2008-04-10","USA_B_1 - AUS_B_1"
"2005-05-26 - 2008-04-10","USA_B_1 - GBR_B_1"
"2005-05-26 - 2008-04-10","CAN_B_1 - NOR_B_1"
"2005-05-26 - 2008-04-10","CHE_B_1 - NOR_B_1"
"2005-05-26 - 2008-04-10","MEX_B_1 - NOR_B_1"
"2005-05-26 - 2008-04-10","USA_B_1 - NOR_B_1"
"2005-05-26 - 2008-04-10","FRA_B_2 - AUS_B_2"
"2005-05-26 - 2008-04-10","USA_B_2 - CAN_B_2"
"2005-05-26 - 2008-04-10","USA_B_2 - CHE_B_2"
"2005-05-26 - 2008-04-10","JPN_B_2 - USA_B_2"
"2005-05-26 - 2008-04-10","DEU_B_3 - AUS_B_3"
"2005-05-26 - 2008-04-10","AUS_B_3 - CAN_B_3"
"2005-05-26 - 2008-04-10","AUS_B_3 - CHE_B_3"
"2005-05-26 - 2008-04-10","AUS_B_3 - DEU_B_3"
"2005-05-26 - 2008-04-10","USA_B_3 - DEU_B_3"
"2005-05-26 - 2008-04-10","USA_B_3 - FRA_B_3"
"2005-06-02 - 2008-04-17","MEX_B_1 - AUS_B_1"
"2005-06-02 - 2008-04-17","USA_B_1 - AUS_B_1"
"2005-06-02 - 2008-04-17","CHN_B_1 - CHE_B_1"
"2005-06-02 - 2008-04-17","USA_B_1 - GBR_B_1"
"2005-06-02 - 2008-04-17","MEX_B_1 - NOR_B_1"
"2005-06-02 - 2008-04-17","USA_B_1 - NOR_B_1"
"2005-06-02 - 2008-04-17","FRA_B_2 - AUS_B_2"
"2005-06-02 - 2008-04-17","USA_B_2 - CAN_B_2"
"2005-06-02 - 2008-04-17","USA_B_2 - CHE_B_2"
"2005-06-02 - 2008-04-17","CHE_B_2 - USA_B_2"
"2005-06-02 - 2008-04-17","JPN_B_2 - USA_B_2"
"2005-06-02 - 2008-04-17","DEU_B_3 - AUS_B_3"
"2005-06-02 - 2008-04-17","ITA_B_3 - AUS_B_3"
"2005-06-02 - 2008-04-17","AUS_B_3 - CHE_B_3"
"2005-06-02 - 2008-04-17","AUS_B_3 - DEU_B_3"
"2005-06-02 - 2008-04-17","USA_B_3 - DEU_B_3"
"2005-06-02 - 2008-04-17","USA_B_3 - FRA_B_3"
"2005-06-02 - 2008-04-17","USA_B_3 - ITA_B_3"
"2005-06-09 - 2008-04-24","MEX_B_1 - AUS_B_1"
"2005-06-09 - 2008-04-24","USA_B_1 - AUS_B_1"
"2005-06-09 - 2008-04-24","CHN_B_1 - CHE_B_1"
"2005-06-09 - 2008-04-24","USA_B_1 - GBR_B_1"
"2005-06-09 - 2008-04-24","CHE_B_1 - NOR_B_1"
"2005-06-09 - 2008-04-24","MEX_B_1 - NOR_B_1"
"2005-06-09 - 2008-04-24","USA_B_1 - NOR_B_1"
"2005-06-09 - 2008-04-24","FRA_B_2 - AUS_B_2"
"2005-06-09 - 2008-04-24","USA_B_2 - CAN_B_2"
"2005-06-09 - 2008-04-24","USA_B_2 - CHE_B_2"
"2005-06-09 - 2008-04-24","CHE_B_2 - USA_B_2"
"2005-06-09 - 2008-04-24","JPN_B_2 - USA_B_2"
"2005-06-09 - 2008-04-24","ITA_B_3 - AUS_B_3"
"2005-06-09 - 2008-04-24","ITA_B_3 - CAN_B_3"
"2005-06-09 - 2008-04-24","AUS_B_3 - CHE_B_3"
"2005-06-09 - 2008-04-24","AUS_B_3 - DEU_B_3"
"2005-06-09 - 2008-04-24","USA_B_3 - DEU_B_3"
"2005-06-09 - 2008-04-24","USA_B_3 - FRA_B_3"
"2005-06-09 - 2008-04-24","USA_B_3 - ITA_B_3"
"2005-06-09 - 2008-04-24","AUS_B_3 - USA_B_3"
"2005-06-16 - 2008-05-01","MEX_B_1 - AUS_B_1"
"2005-06-16 - 2008-05-01","USA_B_1 - AUS_B_1"
"2005-06-16 - 2008-05-01","USA_B_1 - NOR_B_1"
"2005-06-16 - 2008-05-01","FRA_B_2 - AUS_B_2"
"2005-06-16 - 2008-05-01","USA_B_2 - CAN_B_2"
"2005-06-16 - 2008-05-01","USA_B_2 - CHE_B_2"
"2005-06-16 - 2008-05-01","AUS_B_2 - FRA_B_2"
"2005-06-16 - 2008-05-01","CHE_B_2 - USA_B_2"
"2005-06-16 - 2008-05-01","JPN_B_2 - USA_B_2"
"2005-06-16 - 2008-05-01","ITA_B_3 - AUS_B_3"
"2005-06-16 - 2008-05-01","ITA_B_3 - CAN_B_3"
"2005-06-16 - 2008-05-01","AUS_B_3 - CHE_B_3"
"2005-06-16 - 2008-05-01","AUS_B_3 - DEU_B_3"
"2005-06-16 - 2008-05-01","USA_B_3 - DEU_B_3"
"2005-06-16 - 2008-05-01","USA_B_3 - FRA_B_3"
"2005-06-16 - 2008-05-01","USA_B_3 - ITA_B_3"
"2005-06-16 - 2008-05-01","NOR_B_3 - MEX_B_3"
"2005-06-16 - 2008-05-01","AUS_B_3 - USA_B_3"
"2005-06-23 - 2008-05-08","MEX_B_1 - AUS_B_1"
"2005-06-23 - 2008-05-08","USA_B_1 - AUS_B_1"
"2005-06-23 - 2008-05-08","CAN_B_1 - ITA_B_1"
"2005-06-23 - 2008-05-08","USA_B_1 - NOR_B_1"
"2005-06-23 - 2008-05-08","GBR_B_1 - USA_B_1"
"2005-06-23 - 2008-05-08","FRA_B_2 - AUS_B_2"
"2005-06-23 - 2008-05-08","USA_B_2 - CAN_B_2"
"2005-06-23 - 2008-05-08","USA_B_2 - CHE_B_2"
"2005-06-23 - 2008-05-08","JPN_B_2 - USA_B_2"
"2005-06-23 - 2008-05-08","CAN_B_3 - AUS_B_3"
"2005-06-23 - 2008-05-08","ITA_B_3 - AUS_B_3"
"2005-06-23 - 2008-05-08","ITA_B_3 - CAN_B_3"
"2005-06-23 - 2008-05-08","AUS_B_3 - CHE_B_3"
"2005-06-23 - 2008-05-08","AUS_B_3 - DEU_B_3"
"2005-06-23 - 2008-05-08","USA_B_3 - DEU_B_3"
"2005-06-23 - 2008-05-08","USA_B_3 - FRA_B_3"
"2005-06-23 - 2008-05-08","USA_B_3 - ITA_B_3"
"2005-06-30 - 2008-05-15","MEX_B_1 - AUS_B_1"
"2005-06-30 - 2008-05-15","USA_B_1 - AUS_B_1"
"2005-06-30 - 2008-05-15","CHE_B_1 - NOR_B_1"
"2005-06-30 - 2008-05-15","MEX_B_1 - NOR_B_1"
"2005-06-30 - 2008-05-15","USA_B_1 - NOR_B_1"
"2005-06-30 - 2008-05-15","FRA_B_2 - AUS_B_2"
"2005-06-30 - 2008-05-15","USA_B_2 - CAN_B_2"
"2005-06-30 - 2008-05-15","USA_B_2 - CHE_B_2"
"2005-06-30 - 2008-05-15","CHN_B_2 - MEX_B_2"
"2005-06-30 - 2008-05-15","CHE_B_2 - USA_B_2"
"2005-06-30 - 2008-05-15","JPN_B_2 - USA_B_2"
"2005-06-30 - 2008-05-15","CAN_B_3 - AUS_B_3"
"2005-06-30 - 2008-05-15","ITA_B_3 - AUS_B_3"
"2005-06-30 - 2008-05-15","ITA_B_3 - CAN_B_3"
"2005-06-30 - 2008-05-15","AUS_B_3 - CHE_B_3"
"2005-06-30 - 2008-05-15","AUS_B_3 - DEU_B_3"
"2005-06-30 - 2008-05-15","USA_B_3 - DEU_B_3"
"2005-06-30 - 2008-05-15","DEU_B_3 - FRA_B_3"
"2005-06-30 - 2008-05-15","USA_B_3 - FRA_B_3"
"2005-06-30 - 2008-05-15","USA_B_3 - ITA_B_3"
"2005-06-30 - 2008-05-15","AUS_B_3 - USA_B_3"
"2005-06-30 - 2008-05-15","ITA_B_3 - USA_B_3"
"2005-07-07 - 2008-05-22","MEX_B_1 - AUS_B_1"
"2005-07-07 - 2008-05-22","USA_B_1 - AUS_B_1"
"2005-07-07 - 2008-05-22","GBR_B_1 - CAN_B_1"
"2005-07-07 - 2008-05-22","CAN_B_1 - FRA_B_1"
"2005-07-07 - 2008-05-22","CAN_B_1 - ITA_B_1"
"2005-07-07 - 2008-05-22","CHE_B_1 - NOR_B_1"
"2005-07-07 - 2008-05-22","USA_B_1 - NOR_B_1"
"2005-07-07 - 2008-05-22","GBR_B_1 - USA_B_1"
"2005-07-07 - 2008-05-22","NOR_B_1 - USA_B_1"
"2005-07-07 - 2008-05-22","FRA_B_2 - AUS_B_2"
"2005-07-07 - 2008-05-22","USA_B_2 - CHE_B_2"
"2005-07-07 - 2008-05-22","AUS_B_2 - FRA_B_2"
"2005-07-07 - 2008-05-22","CHN_B_2 - MEX_B_2"
"2005-07-07 - 2008-05-22","CHE_B_2 - USA_B_2"
"2005-07-07 - 2008-05-22","JPN_B_2 - USA_B_2"
"2005-07-07 - 2008-05-22","CAN_B_3 - AUS_B_3"
"2005-07-07 - 2008-05-22","ITA_B_3 - AUS_B_3"
"2005-07-07 - 2008-05-22","AUS_B_3 - CAN_B_3"
"2005-07-07 - 2008-05-22","ITA_B_3 - CAN_B_3"
"2005-07-07 - 2008-05-22","AUS_B_3 - CHE_B_3"
"2005-07-07 - 2008-05-22","AUS_B_3 - DEU_B_3"
"2005-07-07 - 2008-05-22","USA_B_3 - DEU_B_3"
"2005-07-07 - 2008-05-22","DEU_B_3 - FRA_B_3"
"2005-07-07 - 2008-05-22","USA_B_3 - FRA_B_3"
"2005-07-07 - 2008-05-22","USA_B_3 - ITA_B_3"
"2005-07-07 - 2008-05-22","AUS_B_3 - USA_B_3"
"2005-07-14 - 2008-05-29","MEX_B_1 - AUS_B_1"
